award Name,year_of_award,Name,Movie
Best Actor,1928,Emil Jannings,The Last Command
Best Actor,1929,Warner Baxter,In Old Arizona
Best Actor,1930,George Arliss,Disraeli
Best Actor,1931,Lionel Barrymore,A Free Soul
Best Actor,1932,Wallace Beery,The Champ
Best Actor,1932,Frederic March,Dr. Jekyll and Mr. Hyde
Best Actor,1933,Charles Laughton,The Private Life of Henry VIII
Best Actor,1934,Clark Gable,It Happened One Night
Best Actor,1935,Victor McLaglen,The Informer
Best Actor,1936,Paul Muni,The Story of Louis Pasteur
Best Actor,1937,Spencer Tracy,Captains Courageous
Best Actor,1938,Spencer Tracy,Boys Town
Best Actor,1939,Robert Donat,Goodbye Mr. Chips
Best Actor,1940,Jimmy Stewart,The Philadelphia Story
Best Actor,1941,Gary Cooper,Sergeant York
Best Actor,1942,James Cagney,Yankee Doodle Dandy
Best Actor,1943,Paul Lukas,Watch on the Rhine
Best Actor,1944,Bing Crosby,Going My Way
Best Actor,1945,Ray Milland,The Lost Weekend
Best Actor,1946,Fredric March,The Best Years of Our Lives
Best Actor,1947,Ronald Colman,A Double Life
Best Actor,1948,Laurence Olivier,Hamlet
Best Actor,1949,Broderick Crawford,All The King's Men
Best Actor,1950,Jose Ferrer,Cyrano de Bergerac
Best Actor,1951,Humphrey Bogart,The Africa Queen
Best Actor,1952,Gary Cooper,High Noon
Best Actor,1953,William Holden,Stalag 17
Best Actor,1954,Marlon Brando,On the Waterfront
Best Actor,1955,Ernest Borgnine,Marty
Best Actor,1956,Yul Brynner,The King and I
Best Actor,1957,Alec Guinness,The Bridge on the River Kwai
Best Actor,1959,David Niven,Separate Tables
Best Actor,1959,Charlton Heston,Ben-hur
Best Actor,1960,Burt Lancaster,Elmer Gantry
Best Actor,1961,Maximilian Schell,Judgement at Nuremberg
Best Actor,1962,Gregory Peck,To Kill a Mockingbird
Best Actor,1963,Sidney Poitier,Lilies of the Field
Best Actor,1964,Rex Harrison,My Fair Lady
Best Actor,1965,Lee Marvin,Cat Ballou
Best Actor,1966,Paul Scofield,A Man For All Seasons
Best Actor,1967,Rod Steiger,In the Heat of the Night
Best Actor,1968,Cliff Robertson,Charly
Best Actor,1969,John Wayne,True Grit
Best Actor,1970,George C. Scott,Patton
Best Actor,1971,Gene Hackman,The French Connection
Best Actor,1972,Marlon Brando,The Godfather
Best Actor,1973,Jack Lemmon,Save the Tiger
Best Actor,1974,Art Carney,Harry and Tonto
Best Actor,1975,Jack Nicholson,One Flew Over the Cuckoo's Nest
Best Actor,1976,Peter Finch,Network
Best Actor,1977,Richard Dreyfuss,The Goodbye Girl
Best Actor,1978,Jon Voight,Coming Home
Best Actor,1979,Dustin Hoffman,Kramer vs. Kramer
Best Actor,1980,Robert De Niro,Raging Bull
Best Actor,1981,Henry Fonda,On Golden Pond
Best Actor,1982,Ben Kingsley,Gandhi
Best Actor,1983,Robert Duvall,Tender Mercies
Best Actor,1984,F. Murray Abraham,Amadeus
Best Actor,1985,William Hurt,Kiss of the Spider Woman
Best Actor,1986,Paul Newman,The Color of Money
Best Actor,1987,Michael Douglas,Wall Street
Best Actor,1988,Dustin Hoffman,Rainman
Best Actor,1989,Daniel Day-Lewis,My Left Foot
Best Actor,1990,Jeremy Irons,Reversal of Fortune
Best Actor,1991,Anthony Hopkins,Silence of the Lambs
Best Actor,1992,Al Pacino,Scent of a Woman
Best Actor,1993,Tom Hanks,Philadelphia
Best Actor,1994,Tom Hanks,Forrest Gump
Best Actor,1995,Nicolas Cage,Leaving Las Vegas
Best Actor,1996,Geoffrey Rush,Shine
Best Actor,1996,Jack Nicholson,As Good as It Gets
Best Actor,1998,Roberto Benigni,Life is Beautiful
Best Actor,1999,Kevin Spacey,American Beauty
Best Actor,2000,Russell Crowe,Gladiator
Best Actor,2001,Denzel Washington,Training Day
Best Actor,2002,Adrien Brody,The Pianist
Best Actor,2002,Sean Penn,Mystic River
Best Actor,2004,Jamie Foxx,Ray
Best Actor,2005,Philip Seymour Hoffman,Capote
Best Actor,2006,Forest Whitaker,The Last King of Scotland
Best Actor,2007,Daniel Day-Lewis,There Will Be Blood
Best Actor,2008,Sean Penn,Milk
Best Actor,2009,Jeff Bridges,Crazy Heart
Best Actor,2010,Colin Firth,The King's Speech
Best Actor,2011,Jean Dujardin,The Artist
Best Actor,2012,Daniel Day-Lewis,Lincoln
Best Actor,2013,Matthew McConaughey,Dallas Buyers Club
Best Actor,2014,Eddie Redmayne,The Theory of Everything
Best Actor,2015,Leonardo DiCaprio,The Revenant
Best Actor,2016,Casey Affleck,Manchester by the Sea
Best Actor,2017,Gary Oldman,Darkest Hour
